ID_WPISU;DATA;ID_WOJ;ID_ZWIERZ;LICZBA
0188;2020-10-31;w03;z11;100
0144;2020-10-24;w10;z01;58
0256;2020-11-18;w09;z02;68
0287;2020-11-23;w11;z16;4
0038;2020-10-08;w02;z16;2
0133;2020-10-23;w10;z15;27
0054;2020-10-10;w06;z06;1
0440;2020-12-21;w14;z13;2
0042;2020-10-08;w06;z04;1
0075;2020-10-14;w01;z08;2
0105;2020-10-20;w13;z05;26
0304;2020-11-26;w03;z01;69
0111;2020-10-20;w15;z16;5
0067;2020-10-11;w06;z06;1
0063;2020-10-11;w04;z13;3
0340;2020-12-02;w06;z17;1
0121;2020-10-21;w08;z12;24
0169;2020-10-30;w16;z05;32
0219;2020-11-08;w03;z04;1
0284;2020-11-23;w13;z06;1
0017;2020-10-05;w01;z12;33
0044;2020-10-08;w08;z16;6
0056;2020-10-10;w01;z12;21
0417;2020-12-18;w03;z11;99
0157;2020-10-27;w13;z13;2
0082;2020-10-15;w01;z09;54
0041;2020-10-08;w14;z05;50
0328;2020-11-29;w14;z12;34
0386;2020-12-12;w02;z05;29
0168;2020-10-30;w06;z01;52
0493;2020-12-30;w12;z06;1
0350;2020-12-05;w01;z08;1
0425;2020-12-19;w12;z06;1
0498;2020-12-30;w16;z08;2
0167;2020-10-30;w15;z04;1
0318;2020-11-27;w08;z09;54
0165;2020-10-30;w16;z13;1
0465;2020-12-26;w08;z08;2
0282;2020-11-23;w06;z11;76
0412;2020-12-16;w01;z08;1
0079;2020-10-15;w08;z15;22
0301;2020-11-26;w03;z14;22
0443;2020-12-21;w01;z09;50
0506;2021-01-01;w05;z02;69
0050;2020-10-10;w15;z12;33
0422;2020-12-19;w02;z04;1
0456;2020-12-24;w02;z01;68
0374;2020-12-10;w02;z16;6
0448;2020-12-21;w03;z12;33
0127;2020-10-21;w15;z11;83
0444;2020-12-21;w13;z16;3
0495;2020-12-30;w08;z05;49
0466;2020-12-26;w01;z18;24
0391;2020-12-13;w08;z07;20
0266;2020-11-20;w12;z11;98
0143;2020-10-24;w10;z13;3
0469;2020-12-26;w13;z11;70
0435;2020-12-19;w06;z12;26
0068;2020-10-14;w05;z18;23
0215;2020-11-08;w16;z17;5
0172;2020-10-30;w11;z17;1
0181;2020-10-31;w09;z18;32
0047;2020-10-10;w01;z07;13
