101001
A0000:A0000:B1001 B11100110
A0000:C0001:B0110 B11110100
A0001:A0011:B0101 C00000100
A0001:A1011:A0000 C00011101
A0001:D1110:A0000 C01010010
A0010:B1001:D0100 C01000110
A0010:D1101:C0010 C00110101
A0011:B1011:B1001 C01010001
A0100:A0010:D1010 C01101110
A0100:C0011:B0010 C10110111
A0101:A1011:D1011 C01011100
A0101:D1011:B1001 C01111010
B0000:B0110:D0000 C10011001
B0000:D1110:A1011 C10000101
B0001:C1001:B1001 C01101100
B0010:A1001:D1011 C00111011
B0010:D0000:B0100 C01100010
B0011:B0100:B1001 C01110100
B0011:D1011:B1001 C01101000
B0100:B1101:D0001 C10000000
B0101:C0110:A1100 C10001101
C0000:A1011:B0111 C10100111
C0000:D0100:D0010 C10010011
C0001:B0100:B1011 C10100000
C0010:A0100:B1011 C10101101
C0010:C0111:D1010 C11110111
C0011:A0011:B0111 C10011001
C0011:C1001:B0110 C10110011
C0100:B0111:C0001 D00010001
C0101:A0011:A1000 D00101100
C0101:C0010:C1110 C11010101
D0000:A0100:B0111 C11000000
D0000:D0100:A1011 C10101011
D0001:B0000:A0100 C10010000
D0001:D0100:B1100 C10110000
D0010:B0111:B0100 C10011100
D0011:A0011:D0010 C10111101
D0011:C1001:A1011 C10001101
D0100:A1110:A1011 C11010100
D0100:D0110:B1000 C10001101
D0101:B1100:C0000 C10100000
