Dzien	Samochod	Czas	Trasa
01.01.2022	MSO671	42	14
01.01.2022	MSO121	134	92
01.01.2022	MSO671	103	39
01.01.2022	MSO121	130	54
01.01.2022	MSO671	105	54
01.01.2022	MSO121	175	112
01.01.2022	MSO023	106	41
01.01.2022	MSO231	157	87
01.01.2022	MSO671	154	86
01.01.2022	MSO023	28	7
01.01.2022	MSO671	149	95
01.01.2022	MSO121	71	36
01.01.2022	MSO671	123	105
01.01.2022	MSO121	125	66
01.01.2022	MSO231	45	11
01.01.2022	MSO671	64	21
01.01.2022	MSO023	183	116
01.01.2022	MSO231	25	6
02.01.2022	MSO671	93	23
02.01.2022	MSO671	79	20
02.01.2022	MSO121	165	159
02.01.2022	MSO023	11	6
02.01.2022	MSO231	82	41
02.01.2022	MSO023	74	25
02.01.2022	MSO231	114	71
02.01.2022	MSO121	107	42
02.01.2022	MSO671	198	74
02.01.2022	MSO023	62	16
02.01.2022	MSO231	199	88
02.01.2022	MSO121	192	102
02.01.2022	MSO671	27	14
03.01.2022	MSO231	152	85
03.01.2022	MSO023	100	50
03.01.2022	MSO671	128	46
03.01.2022	MSO231	108	41
03.01.2022	MSO121	50	13
03.01.2022	MSO023	191	184
03.01.2022	MSO023	41	21
03.01.2022	MSO671	141	63
03.01.2022	MSO231	86	22
04.01.2022	MSO023	188	79
04.01.2022	MSO023	119	65
04.01.2022	MSO023	26	9
04.01.2022	MSO121	91	23
04.01.2022	MSO671	52	26
04.01.2022	MSO023	144	89
04.01.2022	MSO023	5	2
04.01.2022	MSO671	40	10
04.01.2022	MSO671	156	56
04.01.2022	MSO231	79	40
04.01.2022	MSO671	15	5
04.01.2022	MSO023	140	81
04.01.2022	MSO121	117	84
04.01.2022	MSO023	106	66
04.01.2022	MSO671	175	69
04.01.2022	MSO671	196	114
04.01.2022	MSO671	43	14
04.01.2022	MSO671	147	77
04.01.2022	MSO121	14	4
04.01.2022	MSO023	96	48
04.01.2022	MSO255	188	137
04.01.2022	MSO023	98	25
05.01.2022	MSO023	148	82
05.01.2022	MSO671	121	101
05.01.2022	MSO671	44	15
05.01.2022	MSO121	166	93
05.01.2022	MSO231	11	6
05.01.2022	MSO255	96	24
05.01.2022	MSO023	186	64
05.01.2022	MSO671	155	71
05.01.2022	MSO023	55	14
05.01.2022	MSO671	26	9
05.01.2022	MSO023	113	103
05.01.2022	MSO231	47	24
05.01.2022	MSO255	160	74
05.01.2022	MSO121	130	50
06.01.2022	MSO121	73	24
06.01.2022	MSO023	138	116
06.01.2022	MSO671	37	19
06.01.2022	MSO671	81	41
06.01.2022	MSO121	194	78
06.01.2022	MSO023	59	30
06.01.2022	MSO671	133	48
06.01.2022	MSO023	100	33
06.01.2022	MSO023	159	130
06.01.2022	MSO023	134	52
06.01.2022	MSO231	135	85
06.01.2022	MSO231	91	23
06.01.2022	MSO671	147	83
06.01.2022	MSO231	31	16
06.01.2022	MSO121	190	106
06.01.2022	MSO121	143	74
06.01.2022	MSO231	190	70
06.01.2022	MSO231	185	72
07.01.2022	MSO231	58	15
07.01.2022	MSO231	154	67
07.01.2022	MSO671	172	70
07.01.2022	MSO671	178	137
07.01.2022	MSO671	176	64
07.01.2022	MSO231	130	60
07.01.2022	MSO231	54	18
07.01.2022	MSO671	69	17
07.01.2022	MSO671	56	19
07.01.2022	MSO671	114	88
07.01.2022	MSO671	98	25
07.01.2022	MSO023	104	83
07.01.2022	MSO023	16	4
08.01.2022	MSO671	23	8
08.01.2022	MSO023	26	9
08.01.2022	MSO023	141	63
08.01.2022	MSO023	57	19
08.01.2022	MSO231	179	77
08.01.2022	MSO231	137	62
08.01.2022	MSO671	52	26
08.01.2022	MSO023	159	66
08.01.2022	MSO023	145	58
08.01.2022	MSO231	23	8
08.01.2022	MSO121	159	86
09.01.2022	MSO231	43	22
09.01.2022	MSO023	16	4
09.01.2022	MSO671	52	17
09.01.2022	MSO671	76	25
09.01.2022	MSO231	65	16
09.01.2022	MSO023	100	33
09.01.2022	MSO121	199	108
09.01.2022	MSO231	108	76
09.01.2022	MSO671	193	118
09.01.2022	MSO671	191	89
09.01.2022	MSO671	124	87
09.01.2022	MSO671	119	68
09.01.2022	MSO671	83	42
09.01.2022	MSO023	94	24
09.01.2022	MSO671	135	85
09.01.2022	MSO121	155	110
10.01.2022	MSO231	131	62
10.01.2022	MSO023	32	16
10.01.2022	MSO671	28	7
10.01.2022	MSO255	32	8
10.01.2022	MSO671	99	33
10.01.2022	MSO023	181	67
10.01.2022	MSO671	145	58
10.01.2022	MSO671	112	81
10.01.2022	MSO671	89	30
10.01.2022	MSO671	20	7
