nr_odcinka;dlugosc;przewyzszenie
1;1400;24
2;900;14
3;1400;19
4;600;0
5;1000;30
6;1000;-20
7;1500;20
8;700;15
9;1400;-20
10;900;0
11;700;30
12;700;30
13;1000;50
14;600;30
15;1300;0
16;900;40
17;1000;60
18;500;40
19;1100;40
20;1200;10
21;900;20
22;900;-25
23;1400;-20
24;1100;-40
25;1500;-80
26;600;-20
27;900;-25
28;1200;-70
29;900;0
30;1400;0
31;500;10
32;500;60
33;1500;60
34;1500;10
35;1500;-70
36;1100;-90
37;1500;-50
38;1500;-50
39;600;0
40;1400;-10
41;900;-10
42;1300;-10
43;700;0
44;1400;20
45;500;20
46;500;10
47;800;0
48;1300;-20
49;1200;30
50;900;20
51;1400;40
52;700;30
53;700;-15
54;900;-20
55;1400;-10
56;1300;-30
57;1200;-20
58;1400;70
59;1000;0
60;1000;-10
