data;nr rejestr;paliwo;ilosc;cena_l
03.01.2022;CB7608;diesel;41,15;5,7
04.01.2022;CB8329;benzyna;51,81;5,77
04.01.2022;CB2781;diesel;43,85;5,7
04.01.2022;CB5709;diesel;53,58;5,7
05.01.2022;CB4672;diesel;44,52;5,7
05.01.2022;CB5787;diesel;59,15;5,7
05.01.2022;CB3997;benzyna;50,58;5,77
06.01.2022;CB5973;benzyna;52,76;5,77
06.01.2022;CB2855;diesel;41,37;5,7
06.01.2022;CB2338;diesel;58,73;5,7
07.01.2022;CB3485;benzyna;56,34;5,77
07.01.2022;CB5654;benzyna;57,92;5,77
07.01.2022;CB4007;diesel;58,48;5,7
07.01.2022;CB4926;diesel;58,62;5,7
08.01.2022;CB9080;diesel;57,05;5,7
08.01.2022;CB1029;diesel;41,63;5,7
08.01.2022;CB4571;diesel;54,97;5,7
08.01.2022;CB6037;benzyna;52,34;5,77
08.01.2022;CB7157;benzyna;59,7;5,77
09.01.2022;CB6759;diesel;49,47;5,7
24.01.2022;CB7608;diesel;58,25;5,4
24.01.2022;CB2781;diesel;48,73;5,4
24.01.2022;CB5709;diesel;58,75;5,4
25.01.2022;CB4672;diesel;50,11;5,4
26.01.2022;CB5787;diesel;60,42;5,4
26.01.2022;CB2338;diesel;42,51;5,4
26.01.2022;CB3485;benzyna;52,76;5,52
26.01.2022;CB5654;benzyna;49,23;5,52
27.01.2022;CB4007;diesel;60,81;5,4
27.01.2022;CB1029;diesel;57,09;5,4
27.01.2022;CB4571;diesel;56,9;5,4
27.01.2022;CB6037;benzyna;42,28;5,52
28.01.2022;CB6759;diesel;54,59;5,4
29.01.2022;CB5973;benzyna;58,7;5,52
02.02.2022;CB3485;benzyna;56,62;5,52
02.02.2022;CB5654;benzyna;50,77;5,52
02.02.2022;CB4007;diesel;44,57;5,8
03.02.2022;CB4926;diesel;55,34;5,8
03.02.2022;CB9080;diesel;45,89;5,8
03.02.2022;CB1029;diesel;60,52;5,8
03.02.2022;CB4571;diesel;48,78;5,8
04.02.2022;CB6037;benzyna;45,93;5,91
05.02.2022;CB7157;benzyna;51,99;5,91
05.02.2022;CB6759;diesel;50,42;5,8
05.02.2022;CB7608;diesel;49,37;5,8
05.02.2022;CB8329;benzyna;51,33;5,91
06.02.2022;CB2781;diesel;49,7;5,8
06.02.2022;CB5709;diesel;48,56;5,8
06.02.2022;CB4672;diesel;56,94;5,8
06.02.2022;CB5787;diesel;56,78;5,8
06.02.2022;CB3997;benzyna;43,47;5,91
06.02.2022;CB5973;benzyna;51,05;5,91
06.02.2022;CB2855;diesel;52,68;5,8
07.02.2022;CB2338;diesel;44,61;5,8
12.02.2022;CB7608;diesel;56,44;5,8
12.02.2022;CB5709;diesel;54,45;5,8
13.02.2022;CB6037;benzyna;56,17;5,91
13.02.2022;CB7157;benzyna;54,44;5,91
18.02.2022;CB2855;diesel;51,25;6,1
18.02.2022;CB2338;diesel;46,65;6,1
19.02.2022;CB4007;diesel;49,86;6,1
19.02.2022;CB4926;diesel;44,5;6,1
24.02.2022;CB3997;benzyna;58,69;6,21
24.02.2022;CB5973;benzyna;43,51;6,21
24.02.2022;CB2855;diesel;58,95;6,1
24.02.2022;CB2338;diesel;58;6,1
24.02.2022;CB3485;benzyna;44,87;6,21
25.02.2022;CB5654;benzyna;45,89;6,21
25.02.2022;CB4007;diesel;57,1;6,1
25.02.2022;CB4926;diesel;42,62;6,1
25.02.2022;CB7608;diesel;43,39;6,1
26.02.2022;CB8329;benzyna;44,12;7,5
26.02.2022;CB2781;diesel;44,96;7,9
26.02.2022;CB5709;diesel;55,02;7,9
27.02.2022;CB4672;diesel;58,9;7,9
28.02.2022;CB5787;diesel;57,76;7,9
04.03.2022;CB9080;diesel;41,21;7,9
04.03.2022;CB1029;diesel;44,32;7,9
04.03.2022;CB4571;diesel;59,08;7,9
05.03.2022;CB6037;benzyna;55,22;7,5
06.03.2022;CB7157;benzyna;44,58;7,5
06.03.2022;CB6759;diesel;57,93;8,2
06.03.2022;CB3997;benzyna;50,11;7,92
07.03.2022;CB5973;benzyna;60,55;7,92
07.03.2022;CB2855;diesel;59,6;8,2
07.03.2022;CB2338;diesel;60,76;8,2
07.03.2022;CB3485;benzyna;59,6;7,92
07.03.2022;CB5654;benzyna;53,61;7,92
07.03.2022;CB4007;diesel;54,28;8,2
07.03.2022;CB4926;diesel;59,26;8,2
07.03.2022;CB7608;diesel;50,94;8,2
08.03.2022;CB8329;benzyna;55,89;7,92
08.03.2022;CB2781;diesel;51,35;8,2
09.03.2022;CB5709;diesel;41,89;8,2
09.03.2022;CB4672;diesel;58,17;8,2
09.03.2022;CB5787;diesel;40,99;8,2
15.03.2022;CB7608;diesel;55,87;8,2
15.03.2022;CB5709;diesel;57,81;8,2
15.03.2022;CB6037;benzyna;40,9;7,92
15.03.2022;CB7157;benzyna;48,85;7,92
16.03.2022;CB2855;diesel;44,48;8,61
16.03.2022;CB2338;diesel;48,46;8,61
16.03.2022;CB4007;diesel;51,7;8,61
16.03.2022;CB4926;diesel;43,52;8,61
21.03.2022;CB7608;diesel;60,18;8,61
21.03.2022;CB8329;benzyna;43,04;8,45
21.03.2022;CB2781;diesel;50,16;8,61
21.03.2022;CB5709;diesel;42,87;8,61
21.03.2022;CB4672;diesel;56,32;8,61
21.03.2022;CB5787;diesel;40,48;8,61
21.03.2022;CB3997;benzyna;58,74;8,45
21.03.2022;CB5973;benzyna;53,82;8,45
21.03.2022;CB2855;diesel;59,36;8,61
22.03.2022;CB2338;diesel;40,06;8,61
22.03.2022;CB3485;benzyna;46,79;8,45
22.03.2022;CB5654;benzyna;45,47;8,45
22.03.2022;CB4007;diesel;49,06;8,61
22.03.2022;CB4926;diesel;50,81;8,61
22.03.2022;CB9080;diesel;49,86;8,61
23.03.2022;CB1029;diesel;53,28;8,61
23.03.2022;CB4571;diesel;44,39;8,61
23.03.2022;CB6037;benzyna;54,23;8,45
23.03.2022;CB7157;benzyna;40,36;8,45
23.03.2022;CB6759;diesel;46,89;8,61
29.03.2022;CB2855;diesel;57,2;8,61
29.03.2022;CB2338;diesel;48,22;8,61
29.03.2022;CB4007;diesel;56,13;8,61
29.03.2022;CB4926;diesel;57,13;8,61
03.04.2022;CB3997;benzyna;51,46;8,45
03.04.2022;CB5973;benzyna;43,97;8,45
03.04.2022;CB2855;diesel;51,73;8,61
03.04.2022;CB2338;diesel;40,45;8,61
04.04.2022;CB3485;benzyna;51,51;8,12
05.04.2022;CB7608;diesel;56,35;8,32
05.04.2022;CB8329;benzyna;60,58;8,12
05.04.2022;CB2781;diesel;52,45;8,32
05.04.2022;CB5709;diesel;54,97;8,32
05.04.2022;CB4672;diesel;45,86;8,32
05.04.2022;CB5787;diesel;52,73;8,32
06.04.2022;CB5654;benzyna;58,08;8,12
06.04.2022;CB4007;diesel;41,96;8,32
06.04.2022;CB4926;diesel;43,24;8,32
07.04.2022;CB9080;diesel;54,59;8,32
07.04.2022;CB1029;diesel;42,21;8,32
07.04.2022;CB4571;diesel;57,08;8,32
07.04.2022;CB6037;benzyna;60,87;8,12
07.04.2022;CB7157;benzyna;42,34;8,12
07.04.2022;CB6759;diesel;49,21;8,32
13.04.2022;CB2338;diesel;51,84;8,32
13.04.2022;CB4007;diesel;41,49;8,32
13.04.2022;CB4926;diesel;49,68;8,32
13.04.2022;CB7608;diesel;41,29;8,32
14.04.2022;CB5709;diesel;59,68;8,32
