Data;Œrednia temperatura;Opady w mm
01.01.2020;0,1;1,5
02.01.2020;-1,1;0
03.01.2020;-2,9;0,2
04.01.2020;-2,4;1,3
05.01.2020;-3,2;0,3
06.01.2020;-2,9;0,6
07.01.2020;-4,3;0,5
08.01.2020;-3;0,1
09.01.2020;-0,6;0,3
10.01.2020;-0,8;2
11.01.2020;0,3;0,5
12.01.2020;-3,5;1,6
13.01.2020;-2,7;0,1
14.01.2020;-1,1;1,5
15.01.2020;-3,4;0,1
16.01.2020;-3,4;0
17.01.2020;1,3;0,1
18.01.2020;0,3;1,3
19.01.2020;1,1;2,2
20.01.2020;0,5;0
21.01.2020;1,6;0
22.01.2020;0,5;0
23.01.2020;1,2;0,3
24.01.2020;-0,3;0
25.01.2020;0,6;0,5
26.01.2020;3,5;1,4
27.01.2020;3,1;2,3
28.01.2020;1,4;2,3
29.01.2020;-0,4;0,1
30.01.2020;2;0,3
31.01.2020;0,4;1,4
01.02.2020;-3,2;0,3
02.02.2020;-2,9;0,6
03.02.2020;-4,3;0,5
04.02.2020;-3;0,1
05.02.2020;-0,6;0,3
06.02.2020;-0,8;2
07.02.2020;0,3;0,5
08.02.2020;-3,5;1,6
09.02.2020;-2,7;0,1
10.02.2020;1,3;0,1
11.02.2020;0,3;1,3
12.02.2020;1,1;2,2
13.02.2020;0,5;0
14.02.2020;1,6;0
15.02.2020;0,5;0
16.02.2020;1,2;0,3
17.02.2020;-0,3;0
18.02.2020;0,6;0,5
19.02.2020;3,5;1,4
20.02.2020;3,1;2,3
21.02.2020;1,4;2,3
22.02.2020;1,3;0,1
23.02.2020;0,3;1,3
24.02.2020;1,1;2,2
25.02.2020;0,5;0
26.02.2020;-1,2;0,1
27.02.2020;1;1,9
28.02.2020;1,3;5,2
29.02.2020;-0,7;1
01.03.2020;-0,5;0
02.03.2020;-2,3;0,4
03.03.2020;-0,5;1,1
04.03.2020;-1,4;0,2
05.03.2020;-1,3;0,9
06.03.2020;-2,5;0,5
07.03.2020;-2,2;0
08.03.2020;-1,4;0
09.03.2020;-1,1;0
10.03.2020;0,2;0
11.03.2020;3,3;0,6
12.03.2020;1,2;0,9
13.03.2020;0,7;0,1
14.03.2020;1,3;0
15.03.2020;2,2;0,9
16.03.2020;2,5;0,5
17.03.2020;2,1;0,8
18.03.2020;1,3;10,7
19.03.2020;2,3;0
20.03.2020;2,1;0,8
21.03.2020;3,4;0,1
22.03.2020;5,3;0,1
23.03.2020;6,9;0
24.03.2020;3,9;0
25.03.2020;3,3;0,1
26.03.2020;6,5;0,9
27.03.2020;6,9;1,3
28.03.2020;7,3;1
29.03.2020;6,5;2,5
30.03.2020;6,5;0,3
31.03.2020;6,1;0,3
01.04.2020;5,8;0,5
02.04.2020;3,9;2
03.04.2020;6,5;4,7
04.04.2020;4,5;0
05.04.2020;3,8;0,3
06.04.2020;6,3;0
07.04.2020;5,8;0,3
08.04.2020;4,2;0,1
09.04.2020;6;0,9
10.04.2020;3,1;1,8
11.04.2020;4,9;1,7
12.04.2020;6,5;0,9
13.04.2020;6,9;1,3
14.04.2020;7,3;1
15.04.2020;6,5;2,5
16.04.2020;6,5;0,3
17.04.2020;6,1;0,3
18.04.2020;5,8;0,5
19.04.2020;3,9;2
20.04.2020;6,5;4,7
21.04.2020;5,8;0,3
22.04.2020;4,2;0,1
23.04.2020;6;0,9
24.04.2020;6,5;2,5
25.04.2020;6,5;0,3
26.04.2020;6,1;0,3
27.04.2020;5,8;0,5
28.04.2020;3,9;2
29.04.2020;6,5;4,7
30.04.2020;4,5;0
01.05.2020;3,8;0,3
02.05.2020;6,3;0
03.05.2020;5,8;0,3
04.05.2020;4,2;0,1
05.05.2020;6;0,9
06.05.2020;3,1;1,8
07.05.2020;4,9;1,7
08.05.2020;7;0,5
09.05.2020;5,7;1,4
10.05.2020;7,9;0,6
11.05.2020;6,7;0,1
12.05.2020;6,4;0,8
13.05.2020;4;0
14.05.2020;6,8;0
15.05.2020;6,7;0,9
16.05.2020;8,5;1,9
17.05.2020;10,4;0
18.05.2020;10,5;5,4
19.05.2020;10,2;2,9
20.05.2020;8,3;4,4
21.05.2020;7,1;1,5
22.05.2020;8,4;0
23.05.2020;11,6;0,8
24.05.2020;9,4;4,3
25.05.2020;9,1;7,6
26.05.2020;9,8;2
27.05.2020;11,6;2
28.05.2020;12,5;0
29.05.2020;10;0,1
30.05.2020;13,7;1,5
31.05.2020;13,9;0
01.06.2020;12;15,5
02.06.2020;12,6;7,2
03.06.2020;13,6;0,1
04.06.2020;15;0,2
05.06.2020;16,1;0,3
06.06.2020;11;4
07.06.2020;14,2;2,8
08.06.2020;14,2;0,3
09.06.2020;13,4;12,9
10.06.2020;11,8;0,2
11.06.2020;14,6;0
12.06.2020;14,8;0
13.06.2020;14,7;0,7
14.06.2020;14,1;0
15.06.2020;17,6;0
16.06.2020;17;10,8
17.06.2020;16,4;7,2
