nr_rejestracyjny	kod_klienta	czas
CB 3619	kl4	1
CB 3600	kl19	1
CB 3622	kl14	5
CB 3601	kl8	3
CB 3606	kl42	2
CB 3604	kl8	2
CB 3635	kl31	2
CB 3623	kl34	5
CB 3634	kl33	3
CB 3621	kl38	1
CB 3630	kl17	1
CB 3611	kl5	5
CB 3619	kl12	3
CB 3631	kl7	4
CB 3634	kl23	2
CB 3607	kl19	3
CB 3635	kl16	1
CB 3612	kl1	4
CB 3605	kl25	3
CB 3623	kl39	5
CB 3633	kl33	2
CB 3613	kl39	4
CB 3604	kl30	2
CB 3625	kl21	5
CB 3617	kl2	2
CB 3607	kl29	2
CB 3603	kl22	1
CB 3621	kl2	5
CB 3625	kl39	1
CB 3624	kl34	3
CB 3601	kl4	4
CB 3603	kl18	5
CB 3631	kl26	2
CB 3604	kl15	2
CB 3618	kl31	2
CB 3624	kl13	2
CB 3620	kl3	5
CB 3609	kl16	5
CB 3623	kl14	1
CB 3609	kl23	1
CB 3626	kl1	3
CB 3634	kl20	3
CB 3603	kl1	2
CB 3623	kl20	1
CB 3611	kl31	4
CB 3619	kl14	2
CB 3601	kl35	4
CB 3621	kl30	3
CB 3624	kl5	2
CB 3627	kl16	5
CB 3621	kl30	2
CB 3603	kl39	3
CB 3611	kl15	3
CB 3606	kl12	1
CB 3629	kl39	1
CB 3617	kl2	2
CB 3605	kl24	5
CB 3631	kl3	1
CB 3617	kl28	3
CB 3618	kl36	1
CB 3634	kl36	3
CB 3614	kl26	5
CB 3611	kl14	4
CB 3601	kl31	2
CB 3606	kl38	5
CB 3602	kl6	3
CB 3625	kl10	2
CB 3615	kl1	2
CB 3620	kl23	5
CB 3633	kl40	3
CB 3627	kl8	1
CB 3604	kl23	5
CB 3635	kl26	3
CB 3618	kl6	2
CB 3601	kl34	1
CB 3608	kl22	1
CB 3627	kl28	1
CB 3619	kl26	1
CB 3606	kl30	5
CB 3617	kl1	4
CB 3634	kl27	5
CB 3607	kl38	2
CB 3617	kl7	5
CB 3617	kl12	1
CB 3632	kl25	4
CB 3607	kl13	4
CB 3617	kl39	4
CB 3634	kl42	2
CB 3635	kl19	5
CB 3621	kl17	4
CB 3610	kl36	3
CB 3602	kl18	2
CB 3630	kl7	4
CB 3629	kl29	1
CB 3615	kl27	2
CB 3611	kl14	1
CB 3612	kl5	2
CB 3628	kl13	5
CB 3624	kl27	3
CB 3602	kl26	5
CB 3622	kl16	4
CB 3601	kl38	3
CB 3607	kl26	4
CB 3606	kl26	3
CB 3631	kl16	1
CB 3632	kl5	1
CB 3605	kl16	2
CB 3623	kl10	1
CB 3621	kl13	4
