Kolczyk;data_urodzenia;p³eæ;waga;nr_kojca;id_rasy
PL-2020-1001;2020-06-16;tak;102;13;16
PL-2020-1002;2020-06-16;tak;90;8;16
PL-2020-1003;2020-06-16;nie;62;15;6
PL-2020-1004;2020-06-16;nie;98;20;12
PL-2020-1005;2020-06-16;nie;100;17;13
PL-2020-1006;2020-07-01;tak;66;11;12
PL-2020-1007;2020-07-02;tak;72;19;14
PL-2020-1008;2020-07-03;tak;62;12;18
PL-2020-1009;2020-07-04;tak;92;20;1
PL-2020-1010;2020-07-05;nie;78;3;9
PL-2020-1011;2020-07-06;tak;76;3;13
PL-2020-1012;2020-07-07;nie;81;2;20
PL-2020-1013;2020-07-08;nie;75;2;4
PL-2020-1014;2020-07-09;nie;61;15;4
PL-2020-1015;2020-07-10;nie;71;14;16
PL-2020-1016;2020-06-18;tak;62;15;11
PL-2020-1017;2020-06-19;tak;76;15;8
PL-2020-1018;2020-06-20;tak;104;10;1
PL-2020-1019;2020-06-21;nie;78;2;15
PL-2020-1020;2020-06-22;tak;63;17;18
PL-2020-1021;2020-06-23;tak;116;12;20
PL-2020-1022;2020-06-24;tak;98;5;13
PL-2020-1023;2020-06-25;tak;89;2;17
PL-2020-1024;2020-06-16;nie;74;7;4
PL-2020-1025;2020-06-17;nie;87;6;13
PL-2020-1026;2020-07-09;nie;101;18;3
PL-2020-1027;2020-07-10;tak;107;19;14
PL-2020-1028;2020-06-18;nie;70;3;9
PL-2020-1029;2020-06-19;nie;103;10;21
PL-2020-1030;2020-06-20;tak;72;4;20
PL-2020-1031;2020-06-21;nie;100;12;14
PL-2020-1032;2020-07-24;nie;94;20;7
PL-2020-1033;2020-07-25;nie;94;11;9
PL-2020-1034;2020-07-26;nie;71;5;11
PL-2020-1035;2020-07-27;nie;84;10;8
PL-2020-1036;2020-07-28;nie;82;13;10
PL-2020-1037;2020-07-29;nie;110;8;8
PL-2020-1038;2020-07-30;nie;78;2;8
PL-2020-1039;2020-07-30;nie;85;18;12
PL-2020-1040;2020-07-30;nie;120;18;15
PL-2020-1041;2020-06-26;nie;104;17;7
PL-2020-1042;2020-06-27;tak;84;15;2
PL-2020-1043;2020-06-28;tak;78;15;20
PL-2020-1044;2020-06-29;nie;117;18;6
PL-2020-1045;2020-07-24;nie;111;16;13
PL-2020-1046;2020-07-25;nie;81;5;1
PL-2020-1047;2020-07-26;nie;107;4;19
PL-2020-1048;2020-07-27;nie;112;14;15
PL-2020-1049;2020-07-28;nie;74;12;21
PL-2020-1050;2020-07-29;nie;99;2;10
PL-2020-1051;2020-07-30;tak;95;3;13
PL-2020-1052;2020-06-19;tak;116;20;9
PL-2020-1053;2020-06-20;tak;65;20;7
PL-2020-1054;2020-06-21;nie;115;12;14
PL-2020-1055;2020-06-22;nie;62;2;12
PL-2020-1056;2020-06-23;nie;77;18;17
PL-2020-1057;2020-06-24;nie;80;13;17
PL-2020-1058;2020-06-25;tak;77;19;12
PL-2020-1059;2020-06-26;nie;102;6;7
PL-2020-1060;2020-06-27;nie;102;9;12
PL-2020-1061;2020-06-28;tak;83;5;10
PL-2020-1062;2020-06-29;nie;66;17;18
PL-2020-1063;2020-06-30;tak;74;7;12
PL-2020-1064;2020-07-01;tak;74;9;8
PL-2020-1065;2020-07-02;tak;85;7;4
PL-2020-1066;2020-07-03;tak;85;6;3
PL-2020-1067;2020-07-04;nie;103;17;11
PL-2020-1068;2020-07-05;nie;88;1;2
PL-2020-1069;2020-07-06;tak;68;6;16
PL-2020-1070;2020-07-07;tak;119;7;5
PL-2020-1071;2020-07-08;tak;68;19;4
PL-2020-1072;2020-07-09;tak;60;13;21
PL-2020-1073;2020-07-10;nie;117;19;11
PL-2020-1074;2020-07-11;nie;99;18;15
PL-2020-1075;2020-07-12;nie;79;14;19
PL-2020-1076;2020-07-13;tak;100;16;7
PL-2020-1077;2020-07-14;nie;92;4;19
PL-2020-1078;2020-07-15;tak;88;8;14
PL-2020-1079;2020-07-16;tak;62;13;9
PL-2020-1080;2020-07-17;tak;91;8;13
PL-2020-1081;2020-07-18;tak;84;10;3
PL-2020-1082;2020-07-19;tak;78;10;3
PL-2020-1083;2020-07-20;nie;94;20;16
PL-2020-1084;2020-07-21;tak;81;7;14
PL-2020-1085;2020-07-22;nie;98;18;16
PL-2020-1086;2020-07-23;nie;114;1;7
PL-2020-1087;2020-07-24;tak;87;18;19
PL-2020-1088;2020-07-25;nie;115;9;18
PL-2020-1089;2020-07-26;tak;117;21;21
PL-2020-1090;2020-07-27;tak;105;4;14
PL-2020-1091;2020-07-28;nie;114;10;7
PL-2020-1092;2020-07-29;nie;80;1;2
PL-2020-1093;2020-07-30;nie;119;19;4
PL-2020-1094;2020-07-10;nie;81;11;8
PL-2020-1095;2020-07-11;nie;99;12;7
PL-2020-1096;2020-07-12;tak;90;8;16
PL-2020-1097;2020-07-13;tak;87;17;16
PL-2020-1098;2020-07-14;nie;81;5;20
PL-2020-1099;2020-07-15;tak;105;6;19
PL-2020-1100;2020-07-16;nie;76;8;9
PL-2020-1101;2020-07-17;tak;97;2;14
PL-2020-1102;2020-07-18;tak;109;5;14
PL-2020-1103;2020-07-19;tak;82;4;11
PL-2020-1104;2020-07-20;nie;80;8;19
PL-2020-1105;2020-07-21;nie;75;1;18
PL-2020-1106;2020-07-23;tak;100;11;20
PL-2020-1107;2020-07-24;tak;115;20;12
PL-2020-1108;2020-07-25;tak;90;1;12
PL-2020-1109;2020-07-26;tak;106;5;9
PL-2020-1110;2020-07-27;nie;95;11;4
PL-2020-1111;2020-07-28;tak;66;2;21
PL-2020-1112;2020-07-29;tak;94;1;20
PL-2020-1113;2020-07-30;tak;75;16;3
PL-2020-1114;2020-07-31;tak;78;3;7
PL-2020-1115;2020-08-03;nie;109;8;16
PL-2020-1116;2020-08-04;tak;72;4;15
PL-2020-1117;2020-08-05;nie;102;18;18
PL-2020-1118;2020-08-06;tak;97;11;14
PL-2020-1119;2020-08-07;tak;118;8;6
PL-2020-1120;2020-08-08;nie;62;4;19
PL-2020-1121;2020-08-09;tak;106;8;3
PL-2020-1122;2020-06-27;nie;97;2;17
PL-2020-1123;2020-06-28;nie;84;21;20
PL-2020-1124;2020-06-29;nie;91;2;17
PL-2020-1125;2020-06-30;tak;97;2;1
PL-2020-1126;2020-07-01;tak;99;1;1
PL-2020-1127;2020-07-02;nie;65;12;19
PL-2020-1128;2020-07-03;nie;90;19;17
PL-2020-1129;2020-07-04;tak;118;15;14
PL-2020-1130;2020-07-05;nie;86;2;17
PL-2020-1131;2020-08-03;nie;102;20;17
PL-2020-1132;2020-08-04;tak;101;9;13
PL-2020-1133;2020-08-05;nie;111;6;11
PL-2020-1134;2020-08-06;nie;66;17;1
PL-2020-1135;2020-08-07;tak;110;17;4
PL-2020-1136;2020-08-08;tak;102;17;8
PL-2020-1137;2020-08-09;nie;117;5;17
PL-2020-1138;2020-08-10;nie;95;13;1
PL-2020-1139;2020-08-11;tak;80;15;22
PL-2020-1140;2020-06-27;tak;116;1;2
PL-2020-1141;2020-06-28;nie;68;2;12
PL-2020-1142;2020-06-29;tak;67;13;10
PL-2020-1143;2020-06-30;nie;107;1;21
PL-2020-1144;2020-07-01;nie;83;13;21
PL-2020-1145;2020-07-02;tak;91;21;7
PL-2020-1146;2020-07-03;nie;66;5;2
