nr_tel	nr_rozmowcy	c_start	c_stop
501698512	649548560	07:12:56	07:58:38
504158963	800762511	08:43:11	08:51:10
505147854	515729830	07:30:19	07:52:12
505505505	576816725	14:23:21	14:34:14
507069841	571645628	08:47:55	08:52:34
550698451	894765861	07:07:38	07:40:30
551565412	546664693	14:16:10	14:16:14
600459954	583819676	12:24:03	13:14:31
602145124	564740668	08:09:20	08:50:41
603554651	735844500	07:00:00	07:56:38
603654124	652733543	13:40:09	14:39:31
604152547	881637519	08:03:53	08:37:30
606479522	603892534	08:58:04	09:47:17
606784596	898708519	09:50:20	10:32:43
606785462	753580758	09:36:25	09:58:20
660421146	806857879	13:47:24	14:18:24
667914413	900604639	10:02:23	10:31:39
668477564	739639570	07:53:27	08:20:51
668478654	823545585	11:18:06	11:37:05
668542134	826682592	09:15:17	09:55:50
669845245	733850809	09:27:33	10:10:53
676676676	890521631	10:28:46	11:23:27
692145421	684774845	11:33:11	12:00:34
699545651	730646540	09:04:53	09:13:15
600459954	570759700	07:03:26	07:10:10
602145124	669800808	08:03:08	08:30:59
603554651	800579644	13:53:47	14:18:21
603654124	886587746	11:36:18	11:36:40
604152547	792564665	14:21:09	15:16:41
667914413	657536874	11:55:22	12:03:21
668477564	713603770	07:09:31	08:02:42
668478654	900651654	10:03:39	10:46:45
668542134	861639876	12:01:10	12:52:29
669845245	522539514	10:40:52	10:50:16
501698512	604718572	11:25:19	12:21:40
504158963	570588532	11:06:26	11:57:51
505147854	770726561	08:23:47	09:00:06
505505505	612782863	11:38:41	12:34:09
507069841	899852557	10:41:42	11:25:39
550698451	801796877	11:59:59	12:20:58
551565412	525502655	13:40:42	14:36:33
600459954	770501852	11:31:09	11:33:17
507069841	845831846	14:44:21	14:49:44
551565412	743521512	11:25:37	11:34:12
507069841	529518860	13:36:30	14:24:31
551565412	578613728	13:56:39	14:31:39
507069841	509503853	09:28:41	10:22:35
551565412	692713661	11:40:18	12:35:10
668478654	720652554	12:33:19	13:18:18
668542134	900843624	08:25:50	08:46:50
669845245	671589542	14:19:19	15:05:48
676676676	800835812	09:04:00	09:41:07
692145421	736537694	13:20:59	13:31:26
699545651	770656718	10:38:20	11:35:23
501698512	591809665	07:51:29	08:20:41
504158963	669709643	09:38:39	09:41:59
505147854	664795832	14:20:20	14:50:27
505505505	636873696	11:05:38	11:28:23
507069841	900697887	12:42:43	12:46:22
550698451	657661728	13:23:00	14:19:47
551565412	769771573	14:19:35	15:15:17
600459954	555540635	10:57:29	11:55:06
606479522	583616526	14:32:28	14:54:55
606784596	573859751	09:21:55	10:12:20
606479522	816531709	11:28:56	12:07:08
606784596	552841832	09:34:20	09:45:21
505147854	515825502	14:58:11	15:34:37
505505505	779562775	09:45:55	10:24:25
507069841	868653893	10:22:24	10:50:18
550698451	610554795	14:55:46	15:35:01
551565412	627583747	09:08:33	09:22:20
501698512	686725531	09:18:23	09:53:00
504158963	842641861	14:17:47	15:00:00
505147854	796631561	07:42:50	07:43:51
505505505	800686639	10:34:16	10:54:06
507069841	871724506	10:50:51	11:17:05
550698451	777766699	08:15:18	08:46:30
551565412	824676540	09:08:45	09:17:30
600459954	692616702	14:01:17	14:16:14
602145124	526665879	08:35:11	08:36:31
603554651	553800784	09:06:09	10:00:10
603654124	630766817	08:25:18	08:55:46
604152547	567577605	07:47:39	07:54:02
606784596	781623788	08:37:58	08:59:34
606479522	900755660	07:45:40	08:32:26
606784596	527852797	14:30:06	15:22:06
606785462	770613769	11:40:10	12:28:06
660421146	868616729	11:39:02	12:02:34
667914413	522690647	09:29:44	10:00:18
668477564	828515558	11:16:30	11:31:08
668478654	634673797	09:16:55	09:22:53
668542134	790839580	08:33:43	09:16:33
669845245	751648667	11:46:46	12:15:18
676676676	800733761	11:34:52	12:21:59
692145421	774898763	10:19:58	10:37:09
699545651	581643700	13:58:40	14:06:10
600459954	900780663	14:01:25	14:08:56
669845245	861585730	09:36:38	10:25:33
505147854	770690765	11:46:18	12:06:59
600459954	713603770	09:48:24	10:43:19
669845245	900651654	10:59:38	11:15:12
505147854	861639876	11:02:54	11:48:10
600459954	522539514	11:52:23	12:13:49
669845245	604718572	07:55:43	08:09:29
505147854	570588532	09:42:11	10:33:27
600459954	770726561	12:53:54	13:31:14
669845245	612782863	11:13:07	11:55:58
505147854	899852557	10:30:58	10:42:08
600459954	801796877	13:12:17	14:00:12
669845245	525502655	07:15:18	07:44:19
505147854	770501852	10:32:15	10:50:17
600459954	845831846	10:40:27	11:29:32
669845245	743521512	07:02:18	07:38:19
505147854	529518860	11:44:41	12:33:35
600459954	578613728	11:39:50	11:53:59
669845245	509503853	13:24:14	13:31:00
505147854	692713661	14:39:38	14:39:57
