id_taksowki	rodzaj_zlecenia	strefa	kwota
103	p	3	170,27
103	b	3	688,35
106	b	1	69,79
108	p	1	135,81
120	p	2	95,71
114	p	3	235,11
109	p	1	22,91
107	b	4	2532,92
105	b	3	470,06
104	b	1	189,92
107	p	1	40,29
114	p	2	317,4
125	b	3	112,75
111	p	4	2072,91
130	b	4	735,08
109	p	3	288,76
123	b	2	381,36
124	p	3	417,95
111	p	3	996,71
123	b	4	2148,59
110	b	2	158,55
122	p	2	72,87
107	b	3	277,6
105	b	2	160,46
116	b	1	193,7
115	p	1	159,89
103	p	3	968,49
130	p	2	288,73
128	b	4	3463,54
117	b	4	3285,5
116	b	3	266,27
118	b	4	525,92
119	b	5	8908,71
115	b	1	81,07
130	p	4	3902,68
124	b	2	45,77
131	p	3	701,57
130	p	2	163,68
108	b	1	93,3
108	b	1	98,54
114	p	4	852,38
114	p	3	719,6
106	p	4	3777,08
107	b	2	65,04
113	b	1	110,29
121	p	3	833,33
110	p	3	171,3
129	p	4	860,05
117	p	3	144,14
123	b	2	212,52
122	b	1	88,99
119	b	3	647,1
115	b	1	13,01
120	p	4	1507,43
116	b	1	39,51
113	p	4	1223,63
115	p	3	841,87
110	b	4	4499,2
128	b	3	808,51
120	b	2	119,81
111	p	2	44,4
116	p	3	600,78
113	p	4	1660,57
129	b	3	475,9
116	b	1	70,67
114	b	4	1113,55
127	p	3	877,05
124	p	3	539,23
123	p	3	752,82
106	b	4	2770,89
123	b	1	74,09
127	p	3	182,68
117	p	2	204,2
105	b	2	206,8
104	b	2	367,18
105	p	1	188,12
103	b	2	281,46
107	b	3	629,02
130	p	3	322,42
123	p	2	209,27
130	b	4	4396,91
115	b	2	122,63
121	p	4	616,79
131	b	2	303,42
106	b	3	519,74
113	b	1	86,45
105	p	2	184,26
106	b	3	452,16
112	b	2	119,9
130	p	1	77,36
109	p	5	8912,81
118	p	1	102,57
121	b	2	202,48
105	b	1	32,78
115	b	1	169,98
118	p	4	1593,51
119	p	3	776,23
105	p	3	746,66
105	b	1	120,54
131	p	1	67,77
110	b	1	94,4
119	p	1	36,88
118	b	1	76,54
103	b	4	1302,97
107	p	4	2160,67
104	b	2	94,71
130	b	4	3996,26
115	b	2	125,78
111	p	1	159,73
123	b	3	871,84
115	p	3	237,81
114	b	4	2720,35
112	p	1	14,31
103	b	3	569,43
113	b	4	1817,77
127	b	1	192,23
112	b	4	414,79
116	p	3	174,35
121	b	3	806,17
106	p	4	346,51
120	p	3	590,51
124	p	4	2948,87
122	b	3	296
119	b	2	122,63
123	p	3	999,82
113	b	1	81,66
104	b	1	157,15
107	b	3	151,97
124	b	4	3817,94
115	b	1	173,37
104	b	4	3979,84
121	p	4	1103,23
110	b	3	978,4
125	p	4	1512,21
104	p	4	2359,71
107	b	1	143,95
