numer_rejsu	waga_ryb
2022/110	64
2022/111	78
2022/112	337
2022/113	202
2022/114	92
2022/115	132
2022/116	59
2022/117	75
2022/118	82
2022/119	185
2022/120	307
2022/121	318
2022/122	238
2022/123	239
2022/124	393
2022/125	233
2022/126	255
2022/127	250
2022/128	242
2022/129	86
2022/130	93
2022/131	293
2022/132	302
2022/133	176
2022/134	259
2022/135	306
2022/136	71
2022/137	239
2022/138	69
2022/139	341
2022/140	276
2022/141	307
2022/142	68
2022/143	166
2022/144	373
2022/145	160
2022/146	345
2022/147	99
2022/148	184
2022/149	215
2022/150	348
2022/151	359
2022/152	272
2022/153	71
2022/154	194
2022/155	319
2022/156	97
2022/157	98
2022/158	358
2022/159	132
2022/160	140
2022/161	185
2022/162	252
2022/163	47
2022/164	50
2022/165	57
2022/166	26
2022/167	33
2022/168	57
2022/169	177
2022/170	223
2022/171	204
2022/172	60
2022/173	50
2022/174	217
2022/175	255
2022/176	140
2022/177	53
2022/178	270
2022/179	355
2022/180	101
2022/181	111
2022/182	109
2022/183	27
2022/184	255
2022/185	315
2022/186	77
2022/187	233
2022/188	202
2022/189	391
2022/190	353
2022/191	261
2022/192	229
2022/193	58
2022/194	184
2022/195	374
2022/196	51
2022/197	59
2022/198	319
2022/199	318
2022/200	71
2022/201	282
2022/202	72
2022/203	185
