numer_rejsu	id_jednostki
2022/110	GDA-55
2022/111	GDA-56
2022/112	GDA-57
2022/113	GDA-58
2022/114	GDA-59
2022/115	GDA-60
2022/116	GDA-61
2022/117	GDA-62
2022/118	GDA-63
2022/119	GDA-64
2022/120	GDA-55
2022/121	GDA-56
2022/122	GDA-61
2022/123	GDA-62
2022/124	GDA-57
2022/125	GDA-58
2022/126	GDA-63
2022/127	GDA-59
2022/128	GDA-60
2022/129	GDA-64
2022/130	GDA-55
2022/131	GDA-56
2022/132	GDA-61
2022/133	GDA-62
2022/134	GDA-57
2022/135	GDA-58
2022/136	GDA-63
2022/137	GDA-59
2022/138	GDA-60
2022/139	GDA-64
2022/140	GDA-55
2022/141	GDA-56
2022/142	GDA-61
2022/143	GDA-62
2022/144	GDA-57
2022/145	GDA-59
2022/146	GDA-60
2022/147	GDA-58
2022/148	GDA-63
2022/149	GDA-64
2022/150	GDA-55
2022/151	GDA-56
2022/152	GDA-61
2022/153	GDA-60
2022/154	GDA-62
2022/155	GDA-57
2022/156	GDA-59
2022/157	GDA-58
2022/158	GDA-63
2022/159	GDA-64
2022/160	GDA-55
2022/161	GDA-56
2022/162	GDA-61
2022/163	GDA-60
2022/164	GDA-62
2022/165	GDA-57
2022/166	GDA-59
2022/167	GDA-58
2022/168	GDA-63
2022/169	GDA-64
2022/170	GDA-55
2022/171	GDA-56
2022/172	GDA-61
2022/173	GDA-60
2022/174	GDA-62
2022/175	GDA-57
2022/176	GDA-59
2022/177	GDA-58
2022/178	GDA-63
2022/179	GDA-64
2022/180	GDA-55
2022/181	GDA-56
2022/182	GDA-61
2022/183	GDA-60
2022/184	GDA-58
2022/185	GDA-63
2022/186	GDA-62
2022/187	GDA-57
2022/188	GDA-59
2022/189	GDA-60
2022/190	GDA-64
2022/191	GDA-55
2022/192	GDA-56
2022/193	GDA-61
2022/194	GDA-58
2022/195	GDA-63
2022/196	GDA-62
2022/197	GDA-57
2022/198	GDA-59
2022/199	GDA-60
2022/200	GDA-64
2022/201	GDA-55
2022/202	GDA-56
2022/203	GDA-61
