numer_rejsu	data_wejscia	godzina_wejscia
2022/110	01.08.2022	17:15
2022/111	01.08.2022	18:16
2022/112	02.08.2022	15:12
2022/113	02.08.2022	15:22
2022/114	05.08.2022	12:34
2022/115	04.08.2022	12:47
2022/116	01.08.2022	19:51
2022/117	01.08.2022	20:59
2022/118	03.08.2022	06:05
2022/119	05.08.2022	11:50
2022/120	04.08.2022	12:22
2022/121	05.08.2022	13:40
2022/122	05.08.2022	14:20
2022/123	06.08.2022	15:55
2022/124	07.08.2022	10:52
2022/125	07.08.2022	12:30
2022/126	07.08.2022	12:55
2022/127	08.08.2022	14:22
2022/128	09.08.2022	13:40
2022/129	09.08.2022	14:20
2022/130	09.08.2022	15:22
2022/131	09.08.2022	17:11
2022/132	09.08.2022	17:31
2022/133	09.08.2022	17:45
2022/134	10.08.2022	18:22
2022/135	12.08.2022	13:16
2022/136	12.08.2022	14:22
2022/137	11.08.2022	15:11
2022/138	11.08.2022	16:21
2022/139	12.08.2022	14:33
2022/140	12.08.2022	15:25
2022/141	12.08.2022	16:10
2022/142	13.08.2022	14:20
2022/143	14.08.2022	15:10
2022/144	14.08.2022	16:05
2022/145	14.08.2022	16:34
2022/146	14.08.2022	16:45
2022/147	16.08.2022	15:22
2022/148	16.08.2022	16:14
2022/149	17.08.2022	16:22
2022/150	17.08.2022	16:53
2022/151	17.08.2022	17:30
2022/152	17.08.2022	19:21
2022/153	18.08.2022	18:00
2022/154	18.08.2022	19:16
2022/155	18.08.2022	21:22
2022/156	18.08.2022	22:10
2022/157	19.08.2022	15:10
2022/158	19.08.2022	16:05
2022/159	19.08.2022	16:34
2022/160	19.08.2022	16:45
2022/161	19.08.2022	15:22
2022/162	19.08.2022	16:14
2022/163	20.08.2022	16:22
2022/164	20.08.2022	16:53
2022/165	20.08.2022	17:30
2022/166	20.08.2022	18:07
2022/167	22.08.2022	16:22
2022/168	22.08.2022	16:53
2022/169	23.08.2022	17:30
2022/170	24.08.2022	19:21
2022/171	24.08.2022	18:00
2022/172	24.08.2022	19:16
2022/173	24.08.2022	21:22
2022/174	24.08.2022	15:10
2022/175	25.08.2022	16:05
2022/176	25.08.2022	16:34
2022/177	24.08.2022	16:05
2022/178	24.08.2022	16:34
2022/179	26.08.2022	16:22
2022/180	26.08.2022	16:53
2022/181	26.08.2022	17:30
2022/182	26.08.2022	19:21
2022/183	25.08.2022	14:20
2022/184	27.08.2022	15:22
2022/185	27.08.2022	17:11
2022/186	26.08.2022	17:31
2022/187	28.08.2022	17:45
2022/188	28.08.2022	18:22
2022/189	29.08.2022	13:16
2022/190	30.08.2022	16:45
2022/191	30.08.2022	15:22
2022/192	30.08.2022	16:14
2022/193	30.08.2022	16:22
2022/194	31.08.2022	16:53
2022/195	31.08.2022	17:30
2022/196	31.08.2022	19:21
2022/197	31.08.2022	18:00
2022/198	31.08.2022	19:16
2022/199	01.09.2022	17:30
2022/200	01.09.2022	19:21
2022/201	01.09.2022	18:00
2022/202	01.09.2022	19:16
2022/203	01.09.2022	21:22
