numer_rejsu	data_wyjscia	godzina_wyjscia
2022/110	01.08.2022	05:04
2022/111	01.08.2022	05:12
2022/112	01.08.2022	05:17
2022/113	01.08.2022	05:22
2022/114	01.08.2022	05:34
2022/115	01.08.2022	05:47
2022/116	01.08.2022	05:51
2022/117	01.08.2022	05:59
2022/118	01.08.2022	06:05
2022/119	01.08.2022	07:05
2022/120	02.08.2022	05:15
2022/121	02.08.2022	05:55
2022/122	02.08.2022	06:12
2022/123	02.08.2022	06:35
2022/124	04.08.2022	04:15
2022/125	04.08.2022	04:26
2022/126	04.08.2022	04:44
2022/127	06.08.2022	04:33
2022/128	06.08.2022	04:56
2022/129	06.08.2022	05:11
2022/130	06.08.2022	05:22
2022/131	07.08.2022	04:25
2022/132	07.08.2022	05:15
2022/133	07.08.2022	05:38
2022/134	09.08.2022	05:51
2022/135	09.08.2022	06:11
2022/136	09.08.2022	06:22
2022/137	09.08.2022	06:34
2022/138	10.08.2022	04:15
2022/139	11.08.2022	04:25
2022/140	11.08.2022	04:36
2022/141	11.08.2022	04:47
2022/142	11.08.2022	05:04
2022/143	12.08.2022	04:55
2022/144	12.08.2022	05:14
2022/145	13.08.2022	03:55
2022/146	13.08.2022	04:12
2022/147	14.08.2022	04:34
2022/148	14.08.2022	04:39
2022/149	14.08.2022	04:45
2022/150	14.08.2022	04:55
2022/151	14.08.2022	05:19
2022/152	15.08.2022	04:30
2022/153	15.08.2022	04:56
2022/154	16.08.2022	04:15
2022/155	16.08.2022	04:25
2022/156	16.08.2022	04:38
2022/157	18.08.2022	05:04
2022/158	18.08.2022	05:12
2022/159	18.08.2022	05:17
2022/160	18.08.2022	05:22
2022/161	18.08.2022	05:34
2022/162	18.08.2022	05:47
2022/163	20.08.2022	04:15
2022/164	20.08.2022	04:25
2022/165	20.08.2022	04:38
2022/166	20.08.2022	05:04
2022/167	22.08.2022	04:04
2022/168	22.08.2022	04:19
2022/169	22.08.2022	04:34
2022/170	22.08.2022	04:49
2022/171	22.08.2022	05:04
2022/172	22.08.2022	05:19
2022/173	22.08.2022	05:34
2022/174	22.08.2022	05:49
2022/175	22.08.2022	06:04
2022/176	22.08.2022	06:19
2022/177	23.08.2022	04:11
2022/178	23.08.2022	04:19
2022/179	25.08.2022	04:27
2022/180	25.08.2022	04:35
2022/181	25.08.2022	04:43
2022/182	25.08.2022	04:51
2022/183	25.08.2022	04:59
2022/184	26.08.2022	04:35
2022/185	26.08.2022	04:43
2022/186	26.08.2022	05:07
2022/187	27.08.2022	05:15
2022/188	27.08.2022	05:23
2022/189	27.08.2022	06:23
2022/190	28.08.2022	04:12
2022/191	28.08.2022	04:34
2022/192	28.08.2022	04:39
2022/193	28.08.2022	04:45
2022/194	29.08.2022	04:55
2022/195	29.08.2022	04:12
2022/196	29.08.2022	04:34
2022/197	29.08.2022	04:39
2022/198	29.08.2022	04:45
2022/199	30.08.2022	04:55
2022/200	31.08.2022	05:19
2022/201	31.08.2022	04:15
2022/202	31.08.2022	04:26
2022/203	31.08.2022	04:44
